State,CongressionalDistrict,PVI,TotalVote
Alabama,Alabama 1st,0.2274,0.002145529
Alabama,Alabama 2nd,0.5468,0.001910405
Alabama,Alabama 3rd,0.2717,0.002053993
Alabama,Alabama 4th,0.1675,0.002037363
Alabama,Alabama 5th,0.3516,0.002306126
Alabama,Alabama 6th,0.3036,0.00225881
Alabama,Alabama 7th,0.6271,0.001977513
Alaska,Alaska At-Large,0.4354,0.002150879
Arizona,Arizona 1st,0.4901,0.002933267
Arizona,Arizona 2nd,0.4332,0.002671324
Arizona,Arizona 3rd,0.7154,0.001398523
Arizona,Arizona 4th,0.5384,0.002273153
Arizona,Arizona 5th,0.4034,0.002827694
Arizona,Arizona 6th,0.4972,0.002833997
Arizona,Arizona 7th,0.6255,0.001841273
Arizona,Arizona 8th,0.421,0.002550878
Arizona,Arizona 9th,0.3497,0.002540107
Arkansas,Arkansas 1st,0.2741,0.001768483
Arkansas,Arkansas 2nd,0.4234,0.002056874
Arkansas,Arkansas 3rd,0.3738,0.001951327
Arkansas,Arkansas 4th,0.3022,0.001821423
California,California 1st,0.3792,0.002111139
California,California 2nd,0.7386,0.002521544
California,California 3rd,0.4828,0.002764258
California,California 4th,0.6677,0.002263245
California,California 5th,0.416,0.002456807
California,California 6th,0.5774,0.001955821
California,California 7th,0.6632,0.002002477
California,California 8th,0.7378,0.001864787
California,California 9th,0.5092,0.001682695
California,California 10th,0.6813,0.002449975
California,California 11th,0.8599,0.002326949
California,California 12th,0.8941,0.002073209
California,California 13th,0.4929,0.001411613
California,California 14th,0.6962,0.001903684
California,California 15th,0.7591,0.002006873
California,California 16th,0.7564,0.002235517
California,California 17th,0.7091,0.001721095
California,California 18th,0.6705,0.00154912
California,California 19th,0.6842,0.002438107
California,California 20th,0.3517,0.002130421
California,California 21st,0.5404,0.001316602
California,California 22nd,0.494,0.001126939
California,California 23rd,0.4224,0.001784107
California,California 24th,0.6341,0.00227638
California,California 25th,0.5289,0.001624196
California,California 26th,0.5762,0.002251684
California,California 27th,0.5308,0.002025978
California,California 28th,0.648,0.002152479
California,California 29th,0.7003,0.001550838
California,California 30th,0.7182,0.002210991
California,California 31st,0.6049,0.001755766
California,California 32nd,0.6729,0.002287053
California,California 33rd,0.5661,0.001596547
California,California 34th,0.7811,0.001407348
California,California 35th,0.5749,0.001602844
California,California 36th,0.7078,0.002500727
California,California 37th,0.8269,0.001564803
California,California 38th,0.6007,0.001941673
California,California 39th,0.5708,0.001547716
California,California 40th,0.4933,0.002533555
California,California 41st,0.4757,0.002322083
California,California 42nd,0.6846,0.001634647
California,California 43rd,0.7712,0.001491934
California,California 44th,0.6926,0.001658233
